    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .999   .782   .905   .791   .841   .793  1.044   .875   .685   .459   .112   .112   .112   .112
   -.004   .108  -.182  -.014  -.121  -.069  -.263  -.107   .044   .163   .288   .288   .288   .288
    .997   .739  1.199   .917   .883   .831  1.025   .857   .679   .466   .106   .106   .106   .106
   -.003   .151  -.460  -.125  -.137  -.078  -.216  -.070   .057   .158   .288   .288   .288   .288
    .941   .794  1.400  1.151   .686   .628   .849   .717   .585   .410   .105   .105   .105   .105
    .058   .051  -.678  -.384   .042   .091  -.024   .073   .138   .187   .265   .265   .265   .265
    .941   .794  1.400  1.151   .686   .628   .849   .717   .585   .410   .105   .105   .105   .105
    .058   .051  -.678  -.384   .042   .091  -.024   .073   .138   .187   .265   .265   .265   .265
    .941   .794  1.400  1.151   .686   .628   .849   .717   .585   .410   .105   .105   .105   .105
    .058   .051  -.678  -.384   .042   .091  -.024   .073   .138   .187   .265   .265   .265   .265
    .941   .794  1.400  1.151   .686   .628   .849   .717   .585   .410   .105   .105   .105   .105
    .058   .051  -.678  -.384   .042   .091  -.024   .073   .138   .187   .265   .265   .265   .265
    .941   .794  1.400  1.151   .686   .628   .849   .717   .585   .410   .105   .105   .105   .105
    .058   .051  -.678  -.384   .042   .091  -.024   .073   .138   .187   .265   .265   .265   .265
    .941   .794  1.400  1.151   .686   .628   .849   .717   .585   .410   .105   .105   .105   .105
    .058   .051  -.678  -.384   .042   .091  -.024   .073   .138   .187   .265   .265   .265   .265
