   12    1 1989    0    0 .000          2447861.5000000
    3   21 1990   12    0 .000          2447972.0000000
   12    8 1996   13    0 .000          2450426.0416667
   12    9 1996   13    0 .000          2450427.0416667
   12   16 1996   13    0 .000          2450434.0416667
