    1    1   91
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07   .68967675E+07
   .68967675E+07   .68967675E+07   .68967675E+07
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
   .14994832E+05   .14994832E+05   .14994832E+05   .14994832E+05
