    1    1    1
   0.1556533845213D+01   0.0000000000000D+00  -0.1761808353215D+01   0.1623225002990D+35   0.1623225002990D+32
   0.5321140244058D+34   0.5321140244058D+31   0.6373291411326D+33   0.6373291411326D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1686957917103D+35   0.5321140244058D+34   0.1686957917103D+32   0.1154843892697D+35
   0.1154843892697D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.1811411000000D-01  -0.1658887040520D+01   0.1623356058539D+35   0.1623356058539D+32
   0.5314119120522D+34   0.5314119120522D+31   0.6373541881312D+33   0.6373541881312D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1687091477352D+35   0.5314119120522D+34   0.1687091477352D+32   0.1155679565299D+35
   0.1155679565299D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3622822000000D-01  -0.1494803636362D+01   0.1623320065165D+35   0.1623320065165D+32
   0.5285922454325D+34   0.5285922454325D+31   0.6373452174730D+33   0.6373452174730D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1687054586912D+35   0.5285922454325D+34   0.1687054586912D+32   0.1158462341480D+35
   0.1158462341480D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.5434233000000D-01  -0.1322955391758D+01   0.1623539844482D+35   0.1623539844482D+32
   0.5209826021256D+34   0.5209826021256D+31   0.6373848582219D+33   0.6373848582219D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1687278330305D+35   0.5209826021256D+34   0.1687278330305D+32   0.1166295728179D+35
   0.1166295728179D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.7245643000000D-01  -0.1149168874166D+01   0.1623602021779D+35   0.1623602021779D+32
   0.5070453265562D+34   0.5070453265562D+31   0.6373929725738D+33   0.6373929725738D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1687341319036D+35   0.5070453265562D+34   0.1687341319036D+32   0.1180295992480D+35
   0.1180295992480D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.9057055000000D-01  -0.9748417445558D+00   0.1623896451485D+35   0.1623896451485D+32
   0.4923748411755D+34   0.4923748411755D+31   0.6374443202943D+33   0.6374443202943D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1687640883514D+35   0.4923748411755D+34   0.1687640883514D+32   0.1195266042339D+35
   0.1195266042339D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.1344740200000D+00  -0.5528614426671D+00   0.1624565921339D+35   0.1624565921339D+32
   0.3724395976150D+34   0.3724395976150D+31   0.6375574727074D+33   0.6375574727074D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1688321668610D+35   0.3724395976150D+34   0.1688321668610D+32   0.1315882070995D+35
   0.1315882070995D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.1783774900000D+00  -0.1339116633861D+00   0.1625434128837D+35   0.1625434128837D+32
   0.2335623094993D+34   0.2335623094993D+31   0.6377040438861D+33   0.6377040438861D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1689204533226D+35   0.2335623094993D+34   0.1689204533226D+32   0.1455642223726D+35
   0.1455642223726D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.2222809600000D+00   0.2803416742685D+00   0.1626490554267D+35   0.1626490554267D+32
   0.1156782854412D+34   0.1156782854412D+31   0.6378826415862D+33   0.6378826415862D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1690278818426D+35   0.1156782854412D+34   0.1690278818426D+32   0.1574600532984D+35
   0.1574600532984D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.2661844500000D+00   0.6886637390805D+00   0.1627721131947D+35   0.1627721131947D+32
   0.3095284206120D+33   0.3095284206120D+30   0.6380913659441D+33   0.6380913659441D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1691530268542D+35   0.3095284206120D+33   0.1691530268542D+32   0.1660577426480D+35
   0.1660577426480D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3100879200000D+00   0.1090002961263D+01   0.1629106267234D+35   0.1629106267234D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6383273634533D+33   0.6383273634533D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1692939003579D+35   0.0000000000000D+00   0.1692939003579D+32   0.1692939003579D+35
   0.1692939003579D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.5759119400000D+00   0.3323879041669D+01   0.1639331446809D+35   0.1639331446809D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6401157505029D+33   0.6401157505029D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1703343021859D+35   0.0000000000000D+00   0.1703343021859D+32   0.1703343021859D+35
   0.1703343021859D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.8417359600000D+00   0.5132056856588D+01   0.1649188938586D+35   0.1649188938586D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6419337622056D+33   0.6419337622056D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1713382314806D+35   0.0000000000000D+00   0.1713382314806D+32   0.1713382314806D+35
   0.1713382314806D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.1107559920000D+01   0.6450851441740D+01   0.1656109542895D+35   0.1656109542895D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6433433841992D+33   0.6433433841992D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1720443881315D+35   0.0000000000000D+00   0.1720443881315D+32   0.1720443881315D+35
   0.1720443881315D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.1373384000000D+01   0.7267430422423D+01   0.1659104182628D+35   0.1659104182628D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6440808954120D+33   0.6440808954120D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1723512272169D+35   0.0000000000000D+00   0.1723512272169D+32   0.1723512272169D+35
   0.1723512272169D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.1639207960000D+01   0.7597938419986D+01   0.1658735786890D+35   0.1658735786890D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6441786867617D+33   0.6441786867617D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1723153655566D+35   0.0000000000000D+00   0.1723153655566D+32   0.1723153655566D+35
   0.1723153655566D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.1939507370000D+01   0.7426618841282D+01   0.1655163708488D+35   0.1655163708488D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6435983462203D+33   0.6435983462203D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1719523543110D+35   0.0000000000000D+00   0.1719523543110D+32   0.1719523543110D+35
   0.1719523543110D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.2239806650000D+01   0.6733137146542D+01   0.1649564371562D+35   0.1649564371562D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6424781037556D+33   0.6424781037556D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1713812181937D+35   0.0000000000000D+00   0.1713812181937D+32   0.1713812181937D+35
   0.1713812181937D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.2540106060000D+01   0.5582335619228D+01   0.1643094105896D+35   0.1643094105896D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6410348475606D+33   0.6410348475606D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1707197590652D+35   0.0000000000000D+00   0.1707197590652D+32   0.1707197590652D+35
   0.1707197590652D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.2840405230000D+01   0.4044868626274D+01   0.1636738161470D+35   0.1636738161470D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6395042612916D+33   0.6395042612916D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1700688587599D+35   0.0000000000000D+00   0.1700688587599D+32   0.1700688587599D+35
   0.1700688587599D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3140704630000D+01   0.2198787879074D+01   0.1631301808683D+35   0.1631301808683D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6381193122931D+33   0.6381193122931D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1695113739913D+35   0.0000000000000D+00   0.1695113739913D+32   0.1695113739913D+35
   0.1695113739913D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3196060420000D+01   0.1831678360928D+01   0.1630529071089D+35   0.1630529071089D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6379139890608D+33   0.6379139890608D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1694320469995D+35   0.0000000000000D+00   0.1694320469995D+32   0.1694320469995D+35
   0.1694320469995D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3251416210000D+01   0.1457702029777D+01   0.1629733787337D+35   0.1629733787337D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6377076631208D+33   0.6377076631208D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1693504553650D+35   0.0000000000000D+00   0.1693504553650D+32   0.1693504553650D+35
   0.1693504553650D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3306771990000D+01   0.1077508473942D+01   0.1628954640675D+35   0.1628954640675D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6375056190547D+33   0.6375056190547D+30   0.0000000000000D+00
   0.0000000000000D+00   0.1692705202581D+35   0.0000000000000D+00   0.1692705202581D+32   0.1692705202581D+35
   0.1692705202581D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3362127780000D+01   0.6917826403889D+00   0.1628336144025D+35   0.1628336144025D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6373369096340D+33   0.6373369096340D+30   0.4053823414377D+32
   0.4053823414377D+29   0.1692069834988D+35   0.4053823414377D+32   0.1692069834988D+32   0.1688016011574D+35
   0.1688016011574D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3417483330000D+01   0.3012612345373D+00   0.1627848196810D+35   0.1627848196810D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6372016947869D+33   0.6372016947869D+30   0.1613029191299D+33
   0.1613029191299D+30   0.1691568366289D+35   0.1613029191299D+33   0.1691568366289D+32   0.1675438074376D+35
   0.1675438074376D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3439842700000D+01   0.1423419081091D+00   0.1627557827848D+35   0.1627557827848D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6371302559484D+33   0.6371302559484D+30   0.2252974897032D+33
   0.2252974897032D+30   0.1691270853443D+35   0.2252974897032D+33   0.1691270853443D+32   0.1668741104473D+35
   0.1668741104473D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3462201830000D+01  -0.1716747033786D-01   0.1627437806871D+35   0.1627437806871D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6370944359443D+33   0.6370944359443D+30   0.2929420934034D+33
   0.2929420934034D+30   0.1691147250466D+35   0.2929420934034D+33   0.1691147250466D+32   0.1661853041125D+35
   0.1661853041125D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3484560970000D+01  -0.1772038517764D+00   0.1627294336290D+35   0.1627294336290D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6370522034190D+33   0.6370522034190D+30   0.3613686264537D+33
   0.3613686264537D+30   0.1690999556632D+35   0.3613686264537D+33   0.1690999556632D+32   0.1654862693987D+35
   0.1654862693987D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3506920100000D+01  -0.3376943479300D+00   0.1627045071865D+35   0.1627045071865D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6369911375827D+33   0.6369911375827D+30   0.4319168140766D+33
   0.4319168140766D+30   0.1690744185624D+35   0.4319168140766D+33   0.1690744185624D+32   0.1647552504216D+35
   0.1647552504216D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3529279470000D+01  -0.4985558179248D+00   0.1626950783758D+35   0.1626950783758D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6369633653006D+33   0.6369633653006D+30   0.5024937002854D+33
   0.5024937002854D+30   0.1690647120288D+35   0.5024937002854D+33   0.1690647120288D+32   0.1640397750259D+35
   0.1640397750259D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3551714660000D+01  -0.6602283762704D+00   0.1626865849230D+35   0.1626865849230D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6369361897926D+33   0.6369361897926D+30   0.5626481822926D+33
   0.5626481822926D+30   0.1690559468209D+35   0.5626481822926D+33   0.1690559468209D+32   0.1634294649980D+35
   0.1634294649980D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3574149850000D+01  -0.8220260012647D+00   0.1626663210250D+35   0.1626663210250D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6368873143377D+33   0.6368873143377D+30   0.6114331136174D+33
   0.6114331136174D+30   0.1690351941684D+35   0.6114331136174D+33   0.1690351941684D+32   0.1629208630322D+35
   0.1629208630322D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3596585040000D+01  -0.9837406204112D+00   0.1626604066354D+35   0.1626604066354D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6368694494456D+33   0.6368694494456D+30   0.6363298978759D+33
   0.6363298978759D+30   0.1690291011298D+35   0.6363298978759D+33   0.1690291011298D+32   0.1626658021511D+35
   0.1626658021511D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3619020220000D+01  -0.1145022859893D+01   0.1626573223170D+35   0.1626573223170D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6368567962010D+33   0.6368567962010D+30   0.6368113069138D+33
   0.6368113069138D+30   0.1690258902790D+35   0.6368113069138D+33   0.1690258902790D+32   0.1626577772099D+35
   0.1626577772099D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3641455410000D+01  -0.1305180855411D+01   0.1626419634130D+35   0.1626419634130D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6368211942101D+33   0.6368211942101D+30   0.6367954929711D+33
   0.6367954929711D+30   0.1690101753551D+35   0.6367954929711D+33   0.1690101753551D+32   0.1626422204254D+35
   0.1626422204254D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3696897750000D+01  -0.1672189291310D+01   0.1626384675401D+35   0.1626384675401D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6368080500505D+33   0.6368080500505D+30   0.6367713290460D+33
   0.6367713290460D+30   0.1690065480406D+35   0.6367713290460D+33   0.1690065480406D+32   0.1626388347501D+35
   0.1626388347501D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3752340320000D+01  -0.1559954954764D+01   0.1626436923104D+35   0.1626436923104D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6368199558842D+33   0.6368199558842D+30   0.6367743951680D+33
   0.6367743951680D+30   0.1690118918692D+35   0.6367743951680D+33   0.1690118918692D+32   0.1626441479175D+35
   0.1626441479175D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3807782650000D+01  -0.1172693137383D+01   0.1626565947849D+35   0.1626565947849D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6368549508134D+33   0.6368549508134D+30   0.6368115417921D+33
   0.6368115417921D+30   0.1690251442930D+35   0.6368115417921D+33   0.1690251442930D+32   0.1626570288751D+35
   0.1626570288751D+32   0.6159185834378D+01   0.5845340129511D+01   0.2422965346404D+24   0.7002237970412D+23
    1    1    1
   0.1556533845213D+01   0.3863225220000D+01  -0.7737630883545D+00   0.1626784587669D+35   0.1626784587669D+32
   0.0000000000000D+00   0.0000000000000D+00   0.6369159633401D+33   0.6369159633401D+30   0.5987821760168D+33
   0.5987821760168D+30   0.1690476184003D+35   0.5987821760168D+33   0.1690476184003D+32   0.1630597966402D+35
