1
 PROGRAM ACPGB                            DATE= 0: 0:   0  TIME= 0: 0: 0
 Visibility keys, face of accretion disk
 Visibility keys component    1
 -0.053 -0.156 -0.257 -0.355 -0.448 -0.534 -0.612 -0.680 -0.737 -0.783
 -0.816 -0.836 -0.843 -0.836 -0.816 -0.783 -0.738 -0.680 -0.612 -0.535
 -0.449 -0.356 -0.258 -0.157 -0.054  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.053
   16   49
 -0.048 -0.156 -0.263 -0.365 -0.462 -0.552 -0.634 -0.705 -0.765 -0.813
 -0.848 -0.869 -0.876 -0.869 -0.848 -0.814 -0.766 -0.706 -0.635 -0.553
 -0.463 -0.366 -0.264 -0.157 -0.049  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.048
   17   49
 -0.043 -0.156 -0.267 -0.374 -0.475 -0.569 -0.653 -0.728 -0.790 -0.840
 -0.876 -0.898 -0.906 -0.899 -0.877 -0.841 -0.791 -0.729 -0.654 -0.570
 -0.476 -0.375 -0.268 -0.157 -0.044  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.043
   18   49
 -0.038 -0.155 -0.270 -0.380 -0.485 -0.582 -0.670 -0.747 -0.812 -0.864
 -0.901 -0.924 -0.932 -0.924 -0.902 -0.864 -0.813 -0.748 -0.671 -0.583
 -0.486 -0.382 -0.271 -0.156 -0.039  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.038
   19   49
 -0.033 -0.153 -0.271 -0.386 -0.494 -0.594 -0.684 -0.763 -0.830 -0.883
 -0.922 -0.946 -0.953 -0.946 -0.922 -0.884 -0.831 -0.764 -0.685 -0.595
 -0.495 -0.387 -0.273 -0.154 -0.034  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.033
   20   49
 -0.027 -0.151 -0.272 -0.389 -0.500 -0.602 -0.695 -0.776 -0.845 -0.899
 -0.939 -0.963 -0.971 -0.963 -0.939 -0.900 -0.846 -0.777 -0.696 -0.603
 -0.501 -0.390 -0.273 -0.152 -0.029  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.027
   21   49
 -0.022 -0.148 -0.272 -0.391 -0.504 -0.609 -0.703 -0.786 -0.856 -0.911
 -0.952 -0.976 -0.985 -0.977 -0.952 -0.912 -0.857 -0.787 -0.704 -0.610
 -0.505 -0.392 -0.273 -0.149 -0.023  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.022
   22   49
 -0.016 -0.144 -0.270 -0.391 -0.506 -0.612 -0.708 -0.792 -0.863 -0.920
 -0.961 -0.986 -0.994 -0.986 -0.961 -0.920 -0.864 -0.793 -0.709 -0.613
 -0.507 -0.392 -0.271 -0.146 -0.018  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.016
   23   49
 -0.011 -0.140 -0.267 -0.390 -0.506 -0.613 -0.710 -0.795 -0.867 -0.924
 -0.965 -0.991 -0.999 -0.991 -0.966 -0.924 -0.868 -0.796 -0.711 -0.614
 -0.507 -0.391 -0.268 -0.141 -0.012  1.000  1.000  1.000  1.000  1.000
