    1   49    1
   0.1000000000000D+01   0.1000000000000D+01   0.0000000000000D+00   0.0000000000000D+00   0.0000000000000D+00
   0.0000000000000D+00   0.6650000000000D+01   0.4410000000000D+01   0.6000000000000D+00   0.6000000000000D+00
   0.8000000000000D-01   0.8000000000000D-01   0.6000000000000D+00   0.6000000000000D+00
   0.5500000000000D+00
   0.6650000000000D+01
   0.6650001873530D+01   0.6650001852321D+01   0.6650001780164D+01   0.6650001632075D+01   0.6650001369113D+01
   0.6650000941832D+01   0.6650000295158D+01   0.6649999373610D+01   0.6649998127031D+01   0.6649996515987D+01
   0.6649994516561D+01   0.6649992124325D+01   0.6649989356898D+01   0.6649986255064D+01   0.6649982882409D+01
   0.6649979323296D+01   0.6649975679490D+01   0.6649972065636D+01   0.6649968603498D+01   0.6649965416068D+01
   0.6649962621015D+01   0.6649960324669D+01   0.6649958616257D+01   0.6649957563197D+01   0.6649957207421D+01
   0.6649957563197D+01   0.6649958616257D+01   0.6649960324669D+01   0.6649962621015D+01   0.6649965416068D+01
   0.6649968603498D+01   0.6649972065636D+01   0.6649975679490D+01   0.6649979323296D+01   0.6649982882409D+01
   0.6649986255064D+01   0.6649989356906D+01   0.6649992124325D+01   0.6649994516561D+01   0.6649996515987D+01
   0.6649998127031D+01   0.6649999373610D+01   0.6650000295158D+01   0.6650000941832D+01   0.6650001369113D+01
   0.6650001632075D+01   0.6650001780164D+01   0.6650001852321D+01   0.6650001873530D+01
   0.6649962140558D+01   0.6649962454924D+01   0.6649963355275D+01   0.6649964717088D+01   0.6649966344382D+01
   0.6649967986118D+01   0.6649969357205D+01   0.6649970162226D+01   0.6649970120252D+01   0.6649968988510D+01
   0.6649966583343D+01   0.6649962796699D+01   0.6649957607401D+01   0.6649951086090D+01   0.6649943393837D+01
   0.6649934774894D+01   0.6649925543659D+01   0.6649916067425D+01   0.6649906745625D+01   0.6649897987142D+01
   0.6649890187164D+01   0.6649883704790D+01   0.6649878842638D+01   0.6649875829925D+01   0.6649874809509D+01
   0.6649875829925D+01   0.6649878842638D+01   0.6649883704790D+01   0.6649890187164D+01   0.6649897987142D+01
   0.6649906745625D+01   0.6649916067425D+01   0.6649925543659D+01   0.6649934774894D+01   0.6649943393837D+01
   0.6649951086090D+01   0.6649957607408D+01   0.6649962796699D+01   0.6649966583343D+01   0.6649968988510D+01
   0.6649970120252D+01   0.6649970162226D+01   0.6649969357205D+01   0.6649967986118D+01   0.6649966344382D+01
   0.6649964717088D+01   0.6649963355275D+01   0.6649962454924D+01   0.6649962140558D+01
