 PGF output with 1500 data points, NCOL=1                                       
       0.0000000D+00       0.9711763D-02 1.00
       0.0000000D+00       0.9792695D-02 1.00
       0.0000000D+00       0.9873626D-02 1.00
       0.0000000D+00       0.9954557D-02 1.00
       0.0000000D+00       0.1003549D-01 1.00
       0.0000000D+00       0.1011642D-01 1.00
       0.0000000D+00       0.1019735D-01 1.00
       0.0000000D+00       0.1027828D-01 1.00
       0.0000000D+00       0.1035921D-01 1.00
       0.0000000D+00       0.1044015D-01 1.00
       0.0000000D+00       0.1052108D-01 1.00
       0.0000000D+00       0.1060201D-01 1.00
       0.0000000D+00       0.1068294D-01 1.00
       0.0000000D+00       0.1076387D-01 1.00
       0.0000000D+00       0.1084480D-01 1.00
       0.0000000D+00       0.1092573D-01 1.00
       0.0000000D+00       0.1100667D-01 1.00
       0.0000000D+00       0.1108760D-01 1.00
       0.0000000D+00       0.1116853D-01 1.00
       0.0000000D+00       0.1124946D-01 1.00
       0.0000000D+00       0.1133039D-01 1.00
       0.0000000D+00       0.1141132D-01 1.00
       0.0000000D+00       0.1149225D-01 1.00
       0.0000000D+00       0.1157318D-01 1.00
       0.0000000D+00       0.1165412D-01 1.00
       0.0000000D+00       0.1173505D-01 1.00
       0.0000000D+00       0.1181598D-01 1.00
       0.0000000D+00       0.1189691D-01 1.00
       0.0000000D+00       0.1197784D-01 1.00
       0.0000000D+00       0.1205877D-01 1.00
       0.0000000D+00       0.1213970D-01 1.00
       0.0000000D+00       0.1222064D-01 1.00
       0.0000000D+00       0.1230157D-01 1.00
       0.0000000D+00       0.1238250D-01 1.00
       0.0000000D+00       0.1246343D-01 1.00
       0.0000000D+00       0.1254436D-01 1.00
       0.0000000D+00       0.1262529D-01 1.00
       0.0000000D+00       0.1270622D-01 1.00
       0.0000000D+00       0.1278716D-01 1.00
       0.0000000D+00       0.1286809D-01 1.00
       0.0000000D+00       0.1294902D-01 1.00
       0.0000000D+00       0.1302995D-01 1.00
       0.0000000D+00       0.1311088D-01 1.00
